no,front_color,back_color,path,text_front
200300268,하양,,./image/200300268,ID.100
200300269,초록,노랑,./image/200300269,IDP ADS
196400005,하양,,./image/196400005,BCO
200401321,하양,,./image/200401321,SOCO
200404889,연두,노랑,./image/200404889,DWB FL
199906848,분홍,,./image/199906848,BAYER
200108423,주황,,./image/200108423,마크
200108424,주황,,./image/200108424,마크
200108425,주황,,./image/200108425,마크
200008591,하양,,./image/200008591,마크
200108428,주황,,./image/200108428,마크
200108429,하양,,./image/200108429,Bayer
200108430,주황,,./image/200108430,
200702448,하양,,./image/200702448,마크LP
200702509,하양,,./image/200702509,마크
200808211,연두,노랑,./image/200808211,마크 LRG
199200144,파랑,,./image/199200144,HT
198800060,갈색,,./image/198800060,셀비몬
199000049,하양,,./image/199000049,HT
199400050,분홍,,./image/199400050,HT분할선PR
200300409,초록,,./image/200300409,D분할선W
199300120,하양,,./image/199300120,HT분할선DA
199300124,하양,,./image/199300124,HT분할선250
199300848,분홍,,./image/199300848,D-W분할선LXN
200710140,분홍,,./image/200710140,FUP
200000067,하양,,./image/200000067,HTN
199500050,연두,,./image/199500050,HT분할선OT
199600087,노랑,노랑,./image/199600087,HT MCS
199600089,하양,,./image/199600089,마크
199600090,하양,,./image/199600090,HTATB
199200163,초록,,./image/199200163,HT
199400069,노랑,노랑,./image/199400069,HT LST
198500032,주황,,./image/198500032,HTIB
199200165,노랑,,./image/199200165,HTO
199400070,노랑,,./image/199400070,HTA
200808210,주황,,./image/200808210,TI
200308338,노랑,,./image/200308338,S분할선P
200308340,노랑,,./image/200308340,S분할선P
200100769,노랑,하양,./image/200100769,D-W D-WLPR LPR
200300281,주황,주황,./image/200300281,훼리탑F 일동제약
200300282,갈색,,./image/200300282,LISEVA·F
200400325,노랑,,./image/200400325,ARO-C
200400326,연두,,./image/200400326,ID
199700106,하양,,./image/199700106,HTRXC
200308341,분홍,,./image/200308341,SP분할선15
200410519,하양,,./image/200410519,KU 119
200308343,하양,,./image/200308343,SCHWARZPHARMA
199700120,하양,,./image/199700120,HT
200400329,하양,,./image/200400329,I
198700059,하양,,./image/198700059,HT400
199800046,하양,,./image/199800046,HTATC
198700060,연두,,./image/198700060,HTRCT
200700890,초록,,./image/200700890,JG120
200702615,하양,,./image/200702615,마크
200500094,파랑,하양,./image/200500094,HT FLC
198100149,빨강,하양,./image/198100149,D-W D-WCFR CFR
200807361,분홍,,./image/200807361,M분할선O
198900638,하양,,./image/198900638,D-W
199700942,파랑,"파랑, 옅은",./image/199700942,D-W D-WCFC CFC
200308337,분홍,,./image/200308337,SP분할선7.5
200001471,하양,,./image/200001471,NMD
200200628,갈색,,./image/200200628,D-W RYL
198100158,하양,,./image/198100158,D-W
200100776,파랑,파랑,./image/200100776,D-W D-WDNN DNN
199100750,하양,,./image/199100750,D-W
199000710,하양,,./image/199000710,D-W
199300849,연두,,./image/199300849,D-W
200308344,분홍,분홍,./image/200308344,ISOKET 120
200000569,빨강,빨강,./image/200000569,일동제약 훼리탑
199800473,분홍,,./image/199800473,마크
200300057,하양,,./image/200300057,HTR
200400063,초록,,./image/200400063,H분할선T
200400065,하양,,./image/200400065,FH
199600091,빨강,,./image/199600091,젠티 Q
200500431,"갈색, 투명",,./image/200500431,SILYCEF
200500433,주황,,./image/200500433,Aro-EYE
200700849,하양,,./image/200700849,TM
199900053,노랑,,./image/199900053,HTP
200702328,하양,,./image/200702328,NKLE
200200099,갈색,하양,./image/200200099,한풍 프론크논
200200100,파랑,,./image/200200100,GH
196000003,노랑,,./image/196000003,마크
200512147,하양,,./image/200512147,ID분할선PT
197000211,노랑,,./image/197000211,D-W
198902790,주황,,./image/198902790,D-WA5
200109941,하양,,./image/200109941,D-WA
200501531,하양,,./image/200501531,마크
200811013,하양,,./image/200811013,분할선
200808219,빨강,,./image/200808219,GJ
199400704,하양,,./image/199400704,PRS5
200702561,분홍,분홍,./image/200702561,SP VIFAC   75mg
200805924,초록,,./image/200805924,WU
200808241,파랑,,./image/200808241,RSN
199502433,초록,노랑,./image/199502433,마크 PMD
200702692,하양,,./image/200702692,SEL
200702739,하양,,./image/200702739,마크
200808226,연두,노랑,./image/200808226,MM LX
198501803,노랑,,./image/198501803,마크
198702203,하양,,./image/198702203,A
200100424,하양,,./image/200100424,CLP
200200375,하양,,./image/200200375,CLP분할선LOX
200300308,주황,,./image/200300308,HS
200400387,연두,연두,./image/200400387,Melobic 7.5mg
200400388,노랑,,./image/200400388,CLP
200308481,빨강,노랑,./image/200308481,HDP OPC30
198500245,노랑,,./image/198500245,CLP분할선014
199100471,하양,,./image/199100471,HANSEO
200600094,노랑,,./image/200600094,CL
197900544,노랑,,./image/197900544,IDP
200702802,노랑,,./image/200702802,CR
200702584,하양,,./image/200702584,hw65
200702385,분홍,,./image/200702385,분할선
200702572,하양,,./image/200702572,DS분할선HR
200703825,하양,,./image/200703825,LI
200702525,노랑,,./image/200702525,WAL
200612728,하양,,./image/200612728,마크
200108672,하양,,./image/200108672,ACTOS
200209392,하양,,./image/200209392,1+5
200209393,하양,,./image/200209393,1+2.5
199303998,파랑,,./image/199303998,
199303998,하양,,./image/199303998,D
200612599,하양,,./image/200612599,SD분할선CN
200009386,하양,,./image/200009386,OP
200109958,하양,,./image/200109958,IR
200512162,하양,,./image/200512162,LOW분할선CAL
200605325,하양,,./image/200605325,C분할선A
200209391,하양,,./image/200209391,2+5
199604975,초록,빨강,./image/199604975,RIO RIO
200605327,하양,,./image/200605327,ACTIQ200
200605329,하양,,./image/200605329,ACTIQ600
200605330,하양,,./image/200605330,ACTIQ800
200605331,하양,,./image/200605331,ACTIQ1200
200606263,하양,,./image/200606263,ACTIQ1600
200009388,노랑,,./image/200009388,OP
200610878,하양,,./image/200610878,C분할선A
200210719,초록,빨강,./image/200210719,SW RIO
200308509,하양,,./image/200308509,SWC
200308510,하양,,./image/200308510,SWSM
200604158,하양,,./image/200604158,J분할선R
200512177,하양,,./image/200512177,KS분할선TN
200604159,하양,,./image/200604159,BMI
200604160,하양,,./image/200604160,BMI
197700537,분홍,,./image/197700537,BR분할선NM
199600107,주황,,./image/199600107,EVF
200108678,노랑,,./image/200108678,C20
200209622,하양,,./image/200209622,LILLY4112
198100697,초록,,./image/198100697,마크LBT
198301310,하양,,./image/198301310,마크
198501802,노랑,,./image/198501802,마크
200209427,하양,,./image/200209427,마크
200410868,파랑,,./image/200410868,UPJOHN17
200702573,갈색,갈색,./image/200702573,KL FRV
199400394,분홍,,./image/199400394,CLP
200308536,파랑,하양,./image/200308536,UCB58020mg
200512181,초록,하양,./image/200512181,UCB57910mg
200512182,갈색,하양,./image/200512182,UCB58130mg
200200377,하양,,./image/200200377,CI1
200108414,노랑,,./image/200108414,마크034
200108415,하양,,./image/200108415,마크044
200612611,초록,,./image/200612611,T11
199704229,하양,,./image/199704229,LILLY4115
199704231,하양,,./image/199704231,LILLY4117
200811008,초록,,./image/200811008,EVF
200300162,갈색,,./image/200300162,V-B
200300313,초록,,./image/200300313,GL분할선2
200604164,하양,,./image/200604164,SEL SEL
200612701,초록,,./image/200612701,YJLCC
200612754,주황,주황,./image/200612754,파로베 IDP
200612598,파랑,하양,./image/200612598,BR CCL
198500241,하양,,./image/198500241,CLP
198702205,주황,,./image/198702205,BST2
199403293,노랑,,./image/199403293,BST1
200308480,주황,노랑,./image/200308480,HDP OPC10
199800514,하양,,./image/199800514,CLP140
198000626,분홍,하양,./image/198000626,DA TRX
198000627,분홍,분홍,./image/198000627,DA TRH
200606617,노랑,,./image/200606617,IB
200702384,분홍,자주,./image/200702384,MLT 센티콜
200702574,분홍,,./image/200702574,C분할선S
200703852,하양,,./image/200703852,AG
199907332,하양,,./image/199907332,ATENOLOL50KJ
198902794,파랑,,./image/198902794,T
198902796,노랑,,./image/198902796,PENID
198902797,하양,,./image/198902797,PENID
199203462,주황,,./image/199203462,WHANIN
199203463,노랑,,./image/199203463,마크LBT
200702534,노랑,,./image/200702534,C
200410825,하양,,./image/200410825,M분할선L
200703826,하양,,./image/200703826,IDP L
200703826,하양,,./image/200703826,IDP L
200702358,하양,,./image/200702358,LU
200000601,갈색,갈색,./image/200000601,GODEX마크
198800355,하양,,./image/198800355,HSP
199700581,하양,,./image/199700581,HSP
200512142,하양,,./image/200512142,Z분할선10
200610632,파랑,하양,./image/200610632,마크 25mg3228
200610633,파랑,파랑,./image/200610633,마크 40mg 3229
200610634,파랑,노랑,./image/200610634,마크 60mg 3239
200400075,초록,초록,./image/200400075,한풍 설페린F
200400078,회색,노랑,./image/200400078,한풍 드라코에스
200409973,연두,노랑,./image/200409973,마크 3105 PROZAC 20mg
200409973,연두,노랑,./image/200409973,마크  마크3105 3105
200300069,빨강,빨강,./image/200300069,바이오파워 바이오파워
200300070,분홍,,./image/200300070,GH
200612612,주황,하양,./image/200612612,DWB BLS0.2
200200132,파랑,파랑,./image/200200132,한풍 인후신
200200133,갈색,,./image/200200133,GH
200808248,하양,,./image/200808248,YH
200200134,노랑,노랑,./image/200200134,한풍 향감
200209630,하양,,./image/200209630,RENAGEL400
200510991,노랑,,./image/200510991,
200610630,하양,하양,./image/200610630,마크 10mg3227
200610631,노랑,하양,./image/200610631,마크 18mg3238
199200701,하양,,./image/199200701,ELT
200400079,초록,초록,./image/200400079,한풍 아스카
198800699,"빨강, 투명",투명,./image/198800699,KW VRN
200009387,분홍,,./image/200009387,OP
199900176,하양,,./image/199900176,V-C
200807312,분홍,,./image/200807312,NP
198400394,하양,,./image/198400394,ATL
200400392,하양,,./image/200400392,CLP
200500482,노랑,,./image/200500482,HSP
200604151,하양,,./image/200604151,H분할선S
200807310,하양,,./image/200807310,HM
200100429,하양,,./image/200100429,CLP
200500476,주황,,./image/200500476,CL
199203481,분홍,,./image/199203481,A
199203482,분홍,,./image/199203482,UNIMED 50
200100431,노랑,,./image/200100431,CMT200
199000876,빨강,노랑,./image/199000876,KW ORN
197900066,하양,,./image/197900066,Y분할선Y
200605323,하양,,./image/200605323,H분할선L
200511063,하양,,./image/200511063,1분할선0
200511064,하양,하양,./image/200511064,Neurontin®----------100mg마크
200511066,노랑,노랑,./image/200511066,Neurontin®----------300mg마크
200606180,빨강,빨강,./image/200606180,마크STN12.5mg
200606181,갈색,빨강,./image/200606181,마크STN25mg
200610660,하양,,./image/200610660,마크
199604708,하양,,./image/199604708,CP분할선LA분할선RI분할선AM분할선
199203279,하양,,./image/199203279,FCE분할선500
200307647,하양,,./image/200307647,SEARLE분할선1461
200307649,노랑,,./image/200307649,U분할선3772
200307650,주황,,./image/200307650,U분할선3773
200008796,분홍,,./image/200008796,XELODA
200008798,노랑,회색,./image/200008798,ROCHE 75mg
197700120,하양,,./image/197700120,마크
200708537,파랑,노랑,./image/200708537,SA ELF
200807342,빨강,,./image/200807342,H D
200008771,갈색,갈색,./image/200008771,EXELON4.5mg
200008772,갈색,주황,./image/200008772,EXELON6mg
198300343,하양,,./image/198300343,마크
198300344,하양,,./image/198300344,마크
200500102,주황,,./image/200500102,GH
199604709,하양,,./image/199604709,ROCHE125
200604176,파랑,파랑,./image/200604176,PRX
197000049,하양,,./image/197000049,마크분할선ST
200409931,주황,,./image/200409931,U64
199906916,주황,,./image/199906916,COMTAN
200108800,하양,,./image/200108800,K1
200409932,하양,,./image/200409932,UPJOHN50
200409933,파랑,,./image/200409933,U
199704368,하양,,./image/199704368,마크분할선300
199704369,하양,,./image/199704369,150마크
200511035,하양,,./image/200511035,FV750
200511036,노랑,노랑,./image/200511036,마크DynaCirc SRO    5mg
200511037,하양,,./image/200511037,
200410071,갈색,,./image/200410071,LCE50
200210689,주황,,./image/200210689,D2
200108739,하양,,./image/200108739,분할선
200603863,하양,,./image/200603863,CH
200603865,하양,,./image/200603865,CU
200410066,하양,하양,./image/200410066,USB 001
200307794,노랑,,./image/200307794,5
200511023,노랑,,./image/200511023,1.25
200008764,노랑,,./image/200008764,분할선
200511029,하양,,./image/200511029,XR
200600522,분홍,,./image/200600522,YCR
200307815,하양,,./image/200307815,ZADITEN 1
200307816,하양,,./image/200307816,G분할선K
199403112,회색,,./image/199403112,NVR25mg
199504165,회색,,./image/199504165,NVR100mg
199604694,빨강,노랑,./image/199604694,XU 20mg
200400084,갈색,,./image/200400084,G분할선H
197700525,하양,,./image/197700525,마크
200410070,하양,,./image/200410070,X분할선C
199203393,초록,파랑,./image/199203393,ROCHE ROCHE
200410072,갈색,,./image/200410072,LCE 100
200410073,갈색,,./image/200410073,LCE 150
200307809,노랑,,./image/200307809,HO
200511049,하양,,./image/200511049,T150
200610658,분홍,,./image/200610658,십자분할선
200410067,노랑,,./image/200410067,D분할선O
201103297,주황,,./image/201103297,Be
200610651,하양,,./image/200610651,T25
200607634,하양,,./image/200607634,BNVA
200610652,파랑,주황,./image/200610652,CellCept250Roche
200108816,하양,,./image/200108816,마크
199602451,하양,하양,./image/199602451,YPP LACTO
199704612,하양,,./image/199704612,H분할선C
199704618,주황,,./image/199704618,HN10
200108763,분홍,,./image/200108763,D분할선V
200410087,하양,,./image/200410087,마크
200410088,하양,,./image/200410088,마크
200410089,하양,,./image/200410089,마크
200410090,하양,,./image/200410090,ATV
200511055,하양,하양,./image/200511055,마크 ZDX     60
200108764,주황,,./image/200108764,DX분할선DX
200008776,연두,,./image/200008776,T분할선D
200008778,분홍,,./image/200008778,TF분할선TF
200511056,파랑,하양,./image/200511056,마크 ZDX     80
200511057,갈색,하양,./image/200511057,마크 PGN     75
200511058,하양,하양,./image/200511058,마크 PGN    150
200400083,노랑,노랑,./image/200400083,비엠쿨 비엠쿨
200000173,노랑,노랑,./image/200000173,한풍 지민
198501196,하양,,./image/198501196,HNRNT
200307807,연두,,./image/200307807,C
200603856,하양,,./image/200603856,
200603859,하양,,./image/200603859,J500
200603860,하양,,./image/200603860,J250
200610653,주황,하양,./image/200610653,ROC0.25
199304176,주황,,./image/199304176,마크
200603861,하양,,./image/200603861,J125
200108765,노랑,,./image/200108765,FV
200209695,갈색,,./image/200209695,HHH
200410081,파랑,,./image/200410081,마크
200410082,파랑,,./image/200410082,마크
200410085,하양,,./image/200410085,ATV
200410086,하양,,./image/200410086,ATV
200307799,노랑,,./image/200307799,100분할선mg
198800487,"갈색, 투명",,./image/198800487,TBC 1000
200511102,노랑,,./image/200511102,SFD
200807365,갈색,,./image/200807365,DWP
200300470,하양,,./image/200300470,SAMIL분할선150
200209893,파랑,,./image/200209893,ucb분할선250
200209894,노랑,,./image/200209894,ucb분할선500
200209895,하양,,./image/200209895,ucb분할선1000
200511125,하양,,./image/200511125,마크
199200653,하양,,./image/199200653,SR
199700840,보라,보라,./image/199700840,마크 MKC
198900528,갈색,,./image/198900528,마크 PBF
199900600,하양,,./image/199900600,CMS 10
200100397,빨강,빨강,./image/200100397,헤모바이 헤모바이
200500630,분홍,,./image/200500630,마크
200600138,분홍,,./image/200600138,마크LZ15
199604751,하양,,./image/199604751,
197500654,갈색,,./image/197500654,MHT
200702200,분홍,,./image/200702200,C분할선5
200808253,분홍,,./image/200808253,CC
200702259,하양,,./image/200702259,CT
199500324,빨강,회색,./image/199500324,AMTOX AMTOX
197000050,하양,,./image/197000050,GS분할선FE7
200511106,노랑,하양,./image/200511106,TEMODAL=20mg=
200511107,분홍,하양,./image/200511107,TEMODAL=100mg=
200511108,하양,하양,./image/200511108,TEMODAL=250mg=
199605130,노랑,,./image/199605130,분할선
199907323,회색,,./image/199907323,마크
200603815,하양,하양,./image/200603815,7767100
200610661,파랑,파랑,./image/200610661,마크 ZDX     40
200511067,하양,,./image/200511067,마크
200511068,하양,,./image/200511068,마크
200000537,하양,,./image/200000537,KJ25
200603872,초록,,./image/200603872,VN
200605253,하양,,./image/200605253,NT분할선16
200200135,빨강,빨강,./image/200200135,한풍 디프콜
200009616,갈색,,./image/200009616,EVF
199900067,하양,,./image/199900067,EVF
200512161,하양,,./image/200512161,M분할선K
197800024,갈색,,./image/197800024,GH
200606428,하양,,./image/200606428,AP분할선T150
200008568,파랑,파랑,./image/200008568,마크4
200606183,하양,,./image/200606183,NT분할선26
199906840,하양,하양,./image/199906840,ESTRACYT？？KPh750
200108384,청록,청록,./image/200108384,마크 2
200409929,노랑,,./image/200409929,SEARLE39
200404042,하양,,./image/200404042,CFRS
199701035,갈색,노랑,./image/199701035,KUMWON
200705782,하양,,./image/200705782,SWG
200400347,주황,주황,./image/200400347,마크 CFX
200500451,하양,,./image/200500451,마크50
200600087,하양,,./image/200600087,마크
199400373,파랑,,./image/199400373,마크 6
199304304,빨강,하양,./image/199304304,ET100
199806592,노랑,,./image/199806592,P
198800245,하양,,./image/198800245,HD
199504276,노랑,,./image/199504276,650
200307980,하양,,./image/200307980,A
200300296,초록,,./image/200300296,HA분할선HA
